codigo_proyecto,n,subdireccion,programa,instrumento,nombre_concurso,año_curso,año_fallo,nombre_proyecto,area_ocde,disciplina,grupo_evaluacion,duracion_meses,tipo_beneficiario,nombre_responsable,sexo,institucion_principal,macrozona,region_ejecucion,monto_adjudicado_miles,sinfo_nosolicita
79140024,24966,REC,PAI,INSERCION INVESTIGADORES EN LA ACADEMIA,CONCURSO NACIONAL INSERCION DE CAPITAL HUMANO AVANZADO EN LA ACADEMIA Â€“ 2014,2014,2014,CONSERVACION EN LOS AMBIENTES SUBANTARTICOS DE MAGALLANES: INVESTIGAR LOS CARNIVOROS DOMESTICOS VAGABUNDOS Y CONSOLIDAR UN LABORATORIO NATURAL PARA LA CIENCIA EN LA RESERVA DE BIOSFERA CABO DE HORNOS,CIENCIAS NATURALES,CIENCIAS BIOLOGICAS,NO APLICA,36,PERSONA JURIDICA,ELKE SCHUTTLER,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,53030,""
80140001,25039,REC,PAI,"MEC - ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS",CONCURSO NACIONAL DE ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO MODALIDAD ESTADIAS CORTAS (MEC) CONVOCATORIA UNICA 2014,2014,2014,APOYO A LA INVESTIGACION DE LA CALIDAD DE LOS CUIDADOS NO MATERNALES EN MAGALLANES.,CIENCIAS SOCIALES,"",NO APLICA,2,PERSONA JURIDICA,RODRIGO CARCAMO,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,7100,""
80140028,25051,REC,PAI,"MEC - ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS",CONCURSO NACIONAL DE ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO MODALIDAD ESTADIAS CORTAS (MEC) CONVOCATORIA UNICA 2014,2014,2014,CARACTERIZACION DEL CICLO DEL METANO EN ECOSISTEMAS ACUATICOS  SUB-ANTARTICOS DE MAGALLANES,CIENCIAS NATURALES,"",NO APLICA,3,PERSONA JURIDICA,MARIA ASTORGA,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,10400,""
100/102/2013-022,25088,REC,PCI,MOVILIDAD - PROGRAMA BMBF,"CONCURSO DE PROYECTOS DE INTERCAMBIO PROGRAMA DE COOPERACION CIENTIFICA INTERNACIONAL Â€“ CONVOCATORIA 2013, CONTRAPARTE BMBF",2013,2014,CLUSTERING OF GEORGE VI ICE SHELF TRIBUTARY GLACIER TYPES,CIENCIAS NATURALES,"",NO APLICA,24,PERSONA NATURAL,GUIDO STAUB,HOMBRE,UNIVERSIDAD DE CONCEPCION,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,6000,""
100/102/2013-041,25089,REC,PCI,MOVILIDAD - PROGRAMA BMBF,"CONCURSO DE PROYECTOS DE INTERCAMBIO PROGRAMA DE COOPERACION CIENTIFICA INTERNACIONAL Â€“ CONVOCATORIA 2013, CONTRAPARTE BMBF",2013,2014,DOWNWELLING AND UPWELLING RADIANCE,CIENCIAS NATURALES,"",NO APLICA,24,PERSONA NATURAL,ALESANDRO DAMIANI,HOMBRE,UNIVERSIDAD DE SANTIAGO DE CHILE,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,8200,""
3150402,25328,PROYECTOS DE INVESTIGACION,FONDECYT,POSTDOCTORADO,CONCURSO POSTDOCTORADO 2015,2015,2014,BERRIES DE LA PATAGONIA: ACTIVIDAD ANTIOXIDANTE Y ANTIMICROBIAL DE LOS COMPUESTOS FENOLICOS PRESENTES EN FRUTOS DE ECOTIPOS DE ESPECIES NATIVAS,CIENCIAS AGRICOLAS,AGRONOMIA Y OTRAS ESP. SILVOAGROPECUARIA,AGRONOMIA,SIN INFORMACION,PERSONA NATURAL,LORETO MANOSALVA CARRASCO,MUJER,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,"",SIN INFORMACION
1140172,25601,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2014,2014,2014,GLACIER MASS-BALANCE AND FRESHWATER RUNOFF OBSERVATIONS AND SIMULATIONS IN CENTRAL CHILE: A STUDY OF PRESENT AND FUTURE RESPONSE TO WARMING CLIMATE,CIENCIAS NATURALES,CS. DE LA TIERRA,CS. DE LA TIERRA,48,PERSONA NATURAL,JACOB SEBASTIAN HAUGAARRD MERNILD,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,231595,""
1140385,25685,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2014,2014,2014,LAND-SEA INTERACTION EFFECTS ON THE LOCAL CARBON CYCLE OF THE WESTERN PATAGONIAN ARCHIPELAGO INTERIOR SEA,CIENCIAS NATURALES,CS. DE LA TIERRA,CS. DE LA TIERRA,48,PERSONA NATURAL,RODRIGO FERNANDO TORRES SAAVEDRA,HOMBRE,CIEP,AUSTRAL,11. AYSEN,231071,""
1140536,25748,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2014,2014,2014,SOUTHERN HEMISPHERE LATITUDINAL GRADIENTS IN ATMOSPHERIC RADIOCARBON DURING THE PAST 1000 YEARS,CIENCIAS NATURALES,CS. DE LA TIERRA,CS. DE LA TIERRA,48,PERSONA NATURAL,RICARDO HERNAN DE POL HOLZ,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,236000,""
1140936,25925,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO REGULAR FONDECYT 2014,2014,2014,RELACIONES POLITICO ADMINISTRATIVAS Y SU FUNCIONALIDAD PARA EL ULTIMO LUSTRO EN EL EJE LONGITUDINAL DE LA VERTIENTE DE BARLOVENTO DE LA CORDILLERA DE LOS ANDES NORPATAGONICOS,CIENCIAS SOCIALES,GEOGRAFIA Y URBANISMO,GEOGRAFIA Y URBANISM,24,PERSONA NATURAL,SERGIO ALEJANDRO SOZA AMIGO,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,27656,""
